gppd_idnr,name,country,country_long,latitude,longitude,
ARG0000319,CENTRAL PARQUE INDUSTRIAL LA BANDA,ARG,Argentina,-38.062,-67.9463,
ARG0000165,CENTRAL T.GENELBA,ARG,Argentina,-34.9027,-58.7334,
ARG0000166,CENTRAL T.GENELBA PLUS,ARG,Argentina,-34.9027,-58.7334,
ARG0000311,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),ARG,Argentina,-31.7112,-60.7811,
ARG0000274,CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG,Argentina,-24.7456,-65.0513,
ARG0000287,CENTRAL TERMICA GÜEMES SA,ARG,Argentina,-24.6894,-65.0425,
ARG0000330,CENTRAL TERMICA LA BANDA,ARG,Argentina,-27.7528,-64.2655,
ARG0000284,CENTRAL TERMICA PIQUIRENDA SA,ARG,Argentina,-22.3497,-63.7664,
ARG0000155,CENTRAL TERMICA REMEDIOS DE ESCALADA,ARG,Argentina,-34.7208,-58.3881,
ARG0000042,CENTRAL TERMOELECTRICA GUILLERMO BROWN,ARG,Argentina,-34.6268,-58.5438,
ARG0000043,CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG,Argentina,-24.6894,-65.0425,
ARG0000307,CENTRAL TERMOELECTRICA TIMBUES,ARG,Argentina,-32.5778,-60.791,
ARG0000296,CH LOS CARACOLES,ARG,Argentina,-31.5192,-68.9814,
ARG0000185,CHILECITO,ARG,Argentina,-29.1578,-67.5069,
ARG0000295,CHIMBERA 1,ARG,Argentina,-31.9881,-68.5402,
ARG0000267,CIPOLLETTI,ARG,Argentina,-38.9121,-67.9427,
ARG0000221,COMANDANTE ANDRESITO,ARG,Argentina,-25.6669,-54.0419,
ARG0000072,COMODORO RIVADAVIA,ARG,Argentina,-25.9913,-54.6278,
ARG0000067,COMODORO RIVADAVIA - ANTONIO MORAN,ARG,Argentina,-45.8467,-67.4964,
ARG0000117,CORRIENTES,ARG,Argentina,-27.4708,-58.8042,
ARG0000046,COSTANERA,ARG,Argentina,-34.626,-58.3393,
ARG0000197,CRUZ DE PIEDRA,ARG,Argentina,-33.0349,-68.7971,
ARG0000087,CRUZ DEL EJE,ARG,Argentina,-30.7636,-64.7538,
ARG0000110,CT 13 DE JULIO,ARG,Argentina,-32.1613,-64.1537,
ARG0000217,CT ALEM,ARG,Argentina,-43.0907,-65.2298,
ARG0000256,CT ALUMINE,ARG,Argentina,-38.8706,-70.5753,
ARG0000229,CT ARISTOBULO DEL VALLE,ARG,Argentina,-27.0922,-54.8625,
ARG0000003,CT ARRECIFES,ARG,Argentina,-34.0414,-60.1297,
ARG0000333,CT AÑATUYA,ARG,Argentina,-28.4431,-62.8569,
ARG0000334,CT AÑATUYA II,ARG,Argentina,-28.4431,-62.8569,
ARG0000273,CT BARILOCHE,ARG,Argentina,-41.1497,-71.2633,
ARG0000113,CT BELL VILLE,ARG,Argentina,-32.6103,-62.6864,
ARG0000023,CT BRAGADO,ARG,Argentina,-35.1364,-60.4311,
ARG0000028,CT CAPITAN SARMIENTO,ARG,Argentina,-34.1636,-59.7683,
ARG0000054,CT CATAMARCA,ARG,Argentina,-28.4706,-65.7647,
ARG0000257,CT CAVIAHUE,ARG,Argentina,-38.0528,-70.6136,
ARG0000314,CT CERES,ARG,Argentina,-29.8883,-61.9297,
ARG0000065,CT CHARATA,ARG,Argentina,-27.2369,-61.1939,
ARG0000189,CT CHILECITO,ARG,Argentina,-29.1581,-67.5072,
ARG0000260,CT CIPOLLETTI,ARG,Argentina,-38.9133,-67.9414,
ARG0000039,CT COLON BUENOS AIRES,ARG,Argentina,-33.9222,-61.0769,
ARG0000147,CT CONCEPCION DEL URUGUAY,ARG,Argentina,-32.4767,-58.2672,
ARG0000114,CT CORRIENTES,ARG,Argentina,-27.4708,-58.8042,
ARG0000032,CT ECOENERGIA (PETROBRAS),ARG,Argentina,-38.6871,-62.3961,
ARG0000160,CT ENSENADA DE BARRAGAN,ARG,Argentina,-34.8597,-57.9557,
ARG0000139,CT ESQUINA,ARG,Argentina,-30.055,-59.5294,
ARG0000149,CT FORMOSA II,ARG,Argentina,-26.1764,-58.2094,
ARG0000004,CT GENERAL VILLEGAS,ARG,Argentina,-35.0347,-62.9981,
ARG0000138,CT GOYA,ARG,Argentina,-29.1583,-59.2728,
ARG0000336,CT INDEPENDENCIA,ARG,Argentina,-26.8666,-65.2247,
ARG0000152,CT INGENIERO JUAREZ,ARG,Argentina,-23.9078,-61.8342,
ARG0000055,CT INTA CATAMARCA,ARG,Argentina,-28.4733,-65.7275,
ARG0000083,CT ISLA VERDE,ARG,Argentina,-33.2425,-62.395,
ARG0000059,CT JUAN JOSE CASTELLI,ARG,Argentina,-25.9564,-60.6204,
ARG0000035,CT JUNIN,ARG,Argentina,-34.5708,-60.9161,
ARG0000040,CT LA PLATA,ARG,Argentina,-34.9344,-58.016,
ARG0000190,CT LA RIOJA DELIVERY,ARG,Argentina,-29.3811,-66.8325,
ARG0000191,CT LA RIOJA SUR,ARG,Argentina,-29.3808,-66.8319,
ARG0000153,CT LAGUNA BLANCA,ARG,Argentina,-25.1286,-58.2597,
ARG0000024,CT LAS ARMAS,ARG,Argentina,-37.0781,-57.8181,
ARG0000025,CT LAS ARMAS II,ARG,Argentina,-37.0781,-57.8181,
ARG0000066,CT LAS PALMAS,ARG,Argentina,-27.0289,-58.6997,
ARG0000170,CT LIBERTADOR GENERAL SAN MARTIN,ARG,Argentina,-40.8421,-68.0869,
ARG0000036,CT LINCOLN,ARG,Argentina,-34.8578,-61.5206,
ARG0000041,CT LOBOS,ARG,Argentina,-35.1917,-59.0808,
ARG0000005,CT MAGDALENA,ARG,Argentina,-35.1001,-57.4839,
ARG0000163,CT MATHEU,ARG,Argentina,-34.3931,-58.8372,
ARG0000258,CT MEDANITOS (RINCON DE LOS SAUCES),ARG,Argentina,-37.4102,-68.9,
ARG0000022,CT MIRAMAR I,ARG,Argentina,-38.2472,-57.8242,
ARG0000026,CT OLAVARRIA,ARG,Argentina,-36.9439,-60.2361,
ARG0000286,CT ORAN,ARG,Argentina,-23.1258,-64.3069,
ARG0000148,CT PARANA,ARG,Argentina,-31.7764,-60.4553,
ARG0000056,CT PARQUE INDUSTRIAL CATAMARCA,ARG,Argentina,-28.5339,-65.7997,
ARG0000141,CT PASO DE LA PATRIA,ARG,Argentina,-27.3236,-58.5667,
ARG0000037,CT PEHUAJO,ARG,Argentina,-35.8336,-61.8758,
ARG0000027,CT PINAMAR,ARG,Argentina,-37.0953,-56.8789,
ARG0000154,CT PIRANE,ARG,Argentina,-25.6786,-59.0756,
ARG0000337,CT PLUSPETROL NORTE,ARG,Argentina,-26.9955,-65.166,
ARG0000315,CT RAFAELA,ARG,Argentina,-31.2567,-61.5203,
ARG0000184,CT REALICO,ARG,Argentina,-35.055,-64.2406,
ARG0000262,CT ROCA,ARG,Argentina,-31.8919,-60.0106,
ARG0000062,CT SAENZ PEÑA  I,ARG,Argentina,-26.8156,-60.4114,
ARG0000060,CT SAENZ PEÑA  II,ARG,Argentina,-26.8153,-60.4125,
ARG0000038,CT SALTO,ARG,Argentina,-27.4597,-65.6055,
ARG0000161,CT SAN MARTIN NORTE III,ARG,Argentina,-34.5252,-58.6206,
ARG0000341,CT SAN MIGUEL DE TUCUMAN,ARG,Argentina,-26.9955,-65.166,
ARG0000162,CT SAN MIGUEL NORTE III,ARG,Argentina,-34.5252,-58.6206,
ARG0000142,CT SANTA ROSA,ARG,Argentina,-28.2628,-58.0006,
ARG0000288,CT TARTAGAL,ARG,Argentina,-22.5406,-63.8056,
ARG0000057,CT TEREVINTOS,ARG,Argentina,-28.4289,-65.7878,
ARG0000058,CT TINOGASTA,ARG,Argentina,-28.0486,-67.5667,
ARG0000342,CT TUCUMAN,ARG,Argentina,-26.9955,-65.166,
ARG0000316,CT VENADO TUERTO,ARG,Argentina,-33.7736,-61.9564,
ARG0000143,CT VIALE,ARG,Argentina,-31.8919,-60.0106,
ARG0000061,CT VILLA ANGELA,ARG,Argentina,-27.5808,-60.7094,
ARG0000261,CT VILLA REGINA,ARG,Argentina,-39.0872,-67.0881,
ARG0000297,CUESTA DEL VIENTO,ARG,Argentina,-30.1833,-69.0667,
WKS0071212,Cafayate,ARG,Argentina,-26.04,-65.93,
WKS0072494,Caldenes del Oeste,ARG,Argentina,-33.61,-65.445,
WKS0068701,Cauchari,ARG,Argentina,-23.8,-66.8,
ARG0000088,DEAN FUNES,ARG,Argentina,-31.3934,-64.2059,
ARG0000157,DIQUE,ARG,Argentina,-34.8902,-57.933,
ARG0000158,DOCK SUD,ARG,Argentina,-34.6533,-58.342,
ARG0000338,EL CADILLAL,ARG,Argentina,-26.6156,-65.1929,
ARG0000196,EL CARRIZAL,ARG,Argentina,-33.2993,-68.7199,
ARG0000255,EL CHOCON,ARG,Argentina,-39.2577,-68.7483,
ARG0000211,EL TIGRE,ARG,Argentina,-34.61,-68.6136,
ARG0000276,EL TUNAL,ARG,Argentina,-25.2323,-64.4762,
ARG0000112,EMBALSE,ARG,Argentina,-32.2316,-64.4422,
ARG0000339,ESCABA,ARG,Argentina,-27.6589,-65.7633,
ARG0000119,ESQUINA,ARG,Argentina,-30.0102,-59.5321,
ARG0000047,EX CENTRAL BUENOS AIRES,ARG,Argentina,-34.627,-58.3382,
ARG0000240,FILO MORADO,ARG,Argentina,-37.2742,-69.652,
ARG0000089,FITZ SIMON,ARG,Argentina,-32.1784,-64.4207,
ARG0000079,FLORENTINO AMEGHINO,ARG,Argentina,-43.6996,-66.4815,
ARG0000080,FUTALEUFU,ARG,Argentina,-43.1288,-71.63,
ARG0000329,GENERACION FRIAS SA,ARG,Argentina,-28.6072,-65.1228,
ARG0000182,GENERAL ACHA,ARG,Argentina,-37.4309,-64.716,
ARG0000090,GENERAL LEVALLE,ARG,Argentina,-34.0364,-63.9217,
ARG0000208,GENERAL SAN MARTIN,ARG,Argentina,-33.0449,-68.9219,
ARG0000121,GOYA,ARG,Argentina,-29.1388,-59.2277,
ARG0000137,GOYA (ELECTROPATAGONIA SA),ARG,Argentina,-29.1388,-59.2277,
ARG0000269,GUILLERMO CESPEDES,ARG,Argentina,-39.56,-65.6817,
ARG0000272,H. PICHI PICUN LEUFU,ARG,Argentina,-40.012,-69.9918,
ARG0000091,ISLA VERDE,ARG,Argentina,-33.2422,-62.3946,
ARG0000123,ITA IBATE,ARG,Argentina,-27.4252,-57.3341,
ARG0000124,ITUZAINGO,ARG,Argentina,-27.5785,-56.6726,
WKS0072502,Iglesia-Guañizuil,ARG,Argentina,-30.34,-69.27,
ARG0000270,JULIAN  ROMERO,ARG,Argentina,-38.8367,-68.038,
ARG0000125,LA CRUZ,ARG,Argentina,-29.1762,-56.6394,
ARG0000164,LA PLATA COGENERACION,ARG,Argentina,-34.889,-57.9206,
ARG0000188,LA RIOJA,ARG,Argentina,-29.3823,-66.8325,
ARG0000222,LA TABLADA,ARG,Argentina,-27.4184,-55.9097,
ARG0000094,LA VIÑA,ARG,Argentina,-31.8708,-65.0349,
ARG0000169,LAS MADERAS,ARG,Argentina,-24.4438,-65.2203,
ARG0000209,LOS CORONELES (EX 25  DE MAYO),ARG,Argentina,-34.6,-68.5285,
ARG0000096,LOS MOLINOS I,ARG,Argentina,-31.838,-64.4452,
ARG0000097,LOS MOLINOS II,ARG,Argentina,-31.838,-64.4452,
ARG0000331,LOS QUIROGA,ARG,Argentina,-27.6509,-64.3618,
ARG0000212,LOS REYUNOS,ARG,Argentina,-34.6028,-68.6383,
ARG0000198,LUJAN DE CUYO,ARG,Argentina,-33.0551,-68.981,
ARG0000006,MAR DE AJO,ARG,Argentina,-36.7208,-63.1977,
ARG0000007,MAR DEL PLATA (9 DE JULIO),ARG,Argentina,-38.0495,-57.546,
ARG0000015,MAYOR BURATOVICH,ARG,Argentina,-39.2291,-62.6497,
ARG0000128,MBURUCUYA,ARG,Argentina,-28.0441,-58.2285,
ARG0000129,MERCEDES,ARG,Argentina,-29.1808,-58.0793,
ARG0000111,MODESTO MARANZANA,ARG,Argentina,-33.1608,-64.3656,
ARG0000008,NECOCHEA,ARG,Argentina,-38.5785,-58.7108,
ARG0000214,NIHUIL I,ARG,Argentina,-34.9907,-68.6237,
ARG0000215,NIHUIL II,ARG,Argentina,-34.9039,-68.6177,
ARG0000216,NIHUIL III,ARG,Argentina,-34.8821,-68.576,
ARG0000213,NIHUIL IV,ARG,Argentina,-34.833,-68.5168,
ARG0000323,NUEVA ESPERANZA,ARG,Argentina,-26.2072,-64.2477,
ARG0000044,NUEVO PUERTO,ARG,Argentina,-34.5721,-58.3835,
ARG0000223,OBERA (TG Nº21 FIAT ),ARG,Argentina,-27.5019,-55.1245,
ARG0000016,ORENSE,ARG,Argentina,-38.6851,-59.7804,
ARG0000001,PARANA,ARG,Argentina,-33.3549,-60.1718,
ARG0000192,PARQUE EOLICO ARAUCO SAPEM I,ARG,Argentina,-28.6684,-66.7524,
ARG0000193,PARQUE EOLICO ARAUCO SAPEM II,ARG,Argentina,-28.6684,-66.7524,
ARG0000081,PARQUE EOLICO DIADEMA,ARG,Argentina,-45.7458,-67.6953,
ARG0000082,PARQUE EOLICO EL TORDILLO,ARG,Argentina,-45.8507,-67.9081,
ARG0000075,PARQUE EOLICO LOMA BLANCA IV (ENARSA),ARG,Argentina,-43.0907,-65.2298,
ARG0000076,PARQUE EOLICO RAWSON I (ENARSA),ARG,Argentina,-43.3522,-65.1734,
ARG0000077,PARQUE EOLICO RAWSON II (ENARSA),ARG,Argentina,-43.3522,-65.1734,
ARG0000132,PASO DE LOS LIBRES,ARG,Argentina,-29.7148,-57.0933,
ARG0000078,PATAGONIA,ARG,Argentina,-45.7934,-67.5145,
ARG0000133,PERUGORRIA,ARG,Argentina,-29.34,-58.6077,
ARG0000305,PICO TRUNCADO - JORGE ROMANUTTI,ARG,Argentina,-46.8065,-67.9808,
ARG0000304,PICO TRUNCADO I,ARG,Argentina,-46.7842,-67.9498,
ARG0000233,PIEDRA DEL AGUILA (CPSA),ARG,Argentina,-31.6651,-63.8314,
ARG0000099,PIEDRAS MORAS,ARG,Argentina,-32.1675,-64.2438,
ARG0000100,PILAR  BICENTENARIO,ARG,Argentina,-31.6651,-63.8314,
ARG0000101,PILAR ZANICHELLI,ARG,Argentina,-31.6662,-63.8344,
ARG0000241,PLANICIE BANDERITA,ARG,Argentina,-28.5339,-65.7997,
ARG0000298,PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1,ARG,Argentina,-31.3891,-68.6752,
ARG0000289,PRESIDENTE SARMIENTO,ARG,Argentina,-31.5129,-68.5399,
ARG0000340,PUEBLO VIEJO,ARG,Argentina,-27.1149,-65.7523,
ARG0000073,PUERTO MADRYN,ARG,Argentina,-42.7069,-65.1048,
ARG0000045,PUERTO NUEVO,ARG,Argentina,-34.5754,-58.3788,
ARG0000017,PUNTA ALTA - CENTENARIO,ARG,Argentina,-38.7833,-61.8984,
ARG0000299,QUEBRADA DE ULLUM,ARG,Argentina,-31.2567,-61.5203,
ARG0000282,RIO CORRALITO,ARG,Argentina,-24.983,-65.686,
ARG0000103,RIO CUARTO,ARG,Argentina,-33.1614,-64.3649,
ARG0000104,RIO GRANDE,ARG,Argentina,-53.7862,-67.7222,
ARG0000332,RIO HONDO,ARG,Argentina,-27.5225,-64.8861,
ARG0000271,SALTO ANDERSEN,ARG,Argentina,-38.8244,-64.8296,
ARG0000144,SALTO GRANDE (MITAD ARGENTINA),ARG,Argentina,-31.3891,-68.6752,
ARG0000105,SAN FRANCISCO,ARG,Argentina,-31.4391,-62.1119,
ARG0000250,SAN MARTIN DE LOS ANDES,ARG,Argentina,-40.1511,-71.334,
ARG0000002,SAN NICOLAS,ARG,Argentina,-33.3562,-60.1729,
ARG0000227,SAN PEDRO,ARG,Argentina,-26.6253,-54.1102,
ARG0000107,SAN ROQUE,ARG,Argentina,-31.3533,-64.3938,
ARG0000181,SANTA ISABEL,ARG,Argentina,-36.2314,-66.9381,
ARG0000135,SANTO TOME,ARG,Argentina,-28.5497,-56.0722,
ARG0000313,SORRENTO,ARG,Argentina,-32.9053,-60.6807,
ARG0000108,SUDOESTE,ARG,Argentina,-31.463,-64.2388,
WKS0071209,Saujil,ARG,Argentina,-28.165,-66.225,
ARG0000283,TARTAGAL,ARG,Argentina,-22.5099,-63.797,
ARG0000034,TENARIS SIDERCA CETE II,ARG,Argentina,-33.3655,-60.1435,
ARG0000312,TOSTADO,ARG,Argentina,-29.2352,-61.7577,
ARG0000290,ULLUM,ARG,Argentina,-31.4557,-68.7556,
ARG0000228,URUGUA-I,ARG,Argentina,-25.8766,-54.5687,
ARG0000309,VENADO TUERTO,ARG,Argentina,-33.7777,-61.9555,
ARG0000009,VILLA GESELL,ARG,Argentina,-37.2487,-56.9973,
ARG0000109,VILLA MARIA (LAS PLAYAS),ARG,Argentina,-39.0872,-67.0881,
ARG0000308,VUELTA DE OBLIGADO,ARG,Argentina,-32.5807,-60.7903,
ARG0000136,YACYRETA,ARG,Argentina,-27.4827,-56.7397,
WRI1019028,Armenian-2,ARM,Armenia,40.1805,44.1498,
WRI1019027,Hrazadan,ARM,Armenia,40.564,44.7479,
WRI1019026,New Yerevan,ARM,Armenia,40.1152,44.4973,
WRI1003805,Sevan-Hrazdan Cascade,ARM,Armenia,40.5078,44.7606,
WRI1019030,Shamb,ARM,Armenia,39.4743,46.1306,
WRI1019031,Spandaryan,ARM,Armenia,39.6494,45.85,
WRI1019029,Tatev,ARM,Armenia,39.3956,46.2578,
WRI1019025,Yerevan,ARM,Armenia,40.1138,44.5038,
AUS0000432,Adelaide Showgrounds,AUS,Australia,-34.9453,138.5882,
AUS0000065,Albany Wind Farm,AUS,Australia,-35.0641,117.7977,
AUS0000231,Amcor Gawler,AUS,Australia,-34.5509,138.7659,
AUS0000232,Angaston,AUS,Australia,-34.5034,139.0246,
AUS0000114,Anglesea,AUS,Australia,-38.3861,144.1828,
AUS0000615,Angurugu,AUS,Australia,-13.8584,136.4209,
AUS0000264,Appin (Mine),AUS,Australia,-34.2082,150.7722,
AUS0000611,Ararat Wind Farm,AUS,Australia,-37.2385,143.0794,
AUS0000220,Argyle Diamond Mine,AUS,Australia,-16.7162,128.4031,
AUS0000081,Bairnsdale,AUS,Australia,-37.8429,147.5639,
AUS0000113,Ballarat Base Hospital,AUS,Australia,-37.5596,143.8469,
AUS0000014,Banimboola,AUS,Australia,-36.5344,147.4594,
AUS0000399,Bankstown Sports Club,AUS,Australia,-33.9197,151.0332,
AUS0000608,Bannerton Solar Farm,AUS,Australia,-34.6899,142.7452,
