"fuel","avg_output_13_to_17_gwh"
"Coal","3472234.4509117217"
"Hydro","3368453.0750762234"
"Gas","2110489.1825964726"
"Nuclear","1466889.5451035998"
"Wind","355578.5881644466"
"Solar","299176.0692937781"
"Oil","127161.92810133798"
"Waste","44028.74583733333"
"Biomass","27464.413189133338"
"Geothermal","23870.355216000004"
"Petcoke","7943.0884590000005"
"Other","3238.3440734"
"Cogeneration","3208.3683066"
"Storage","913.7605911999999"
