"country","avg_capacity"
"Afghanistan","0.03339444444444445"
"Albania","0.191125"
"Algeria","0.26904745762711857"
"Angola","0.07651285714285715"
"Antarctica","0.0038"
"Argentina","0.13946219915254235"
"Armenia","0.408875"
"Australia","0.13549797530864205"
"Austria","0.10900097087378639"
"Azerbaijan","0.41171428571428587"
"Bahrain","0.9482875"
"Bangladesh","0.20771929824561397"
"Belarus","0.3556208333333333"
"Belgium","0.19427246376811594"
"Benin","0.03025"
"Bhutan","0.29644"
"Bolivia","0.06012"
"Bosnia and Herzegovina","0.199275"
"Botswana","0.373"
"Brazil","0.06253782683474579"
"Brunei Darussalam","0.1465"
"Bulgaria","0.21516744186046513"
"Burkina Faso","0.032758"
"Burundi","0.0142925"
"Cambodia","0.09485"
"Cameroon","0.1101975"
"Canada","0.12388153580672903"
"Cape Verde","0.023201250000000003"
"Central African Republic","0.016832"
"Chile","0.07135126560952387"
"China","0.3341363353010599"
"Colombia","0.43695999999999996"
"Congo","0.0782375"
"Costa Rica","0.0729037037037037"
"Cote DIvoire","0.150375"
"Croatia","0.13643750000000002"
"Cuba","0.2712"
"Cyprus","0.48933333333333334"
"Czech Republic","0.03651883116883111"
"Democratic Republic of the Congo","0.20380266666666672"
"Denmark","0.17202553191489367"
"Djibouti","0.107332"
"Dominican Republic","0.12387266666666667"
"Ecuador","0.1929763636363636"
"Egypt","0.5513467741935483"
"El Salvador","0.08865625"
"Equatorial Guinea","0.050166666666666665"
"Eritrea","0.06659500000000002"
"Estonia","0.14952352941176472"
"Ethiopia","0.3095307692307693"
"Fiji","0.026448333333333334"
"Finland","0.06376627027027028"
"France","0.05132989740139216"
"French Guiana","0.0421"
"Gabon","0.07446833333333334"
"Gambia","0.0352"
"Georgia","0.20165263157894733"
"Germany","0.08559234139037437"
"Ghana","0.35133333333333333"
"Greece","0.16287388888888887"
"Guatemala","0.0485407894736842"
"Guinea","0.056713333333333345"
"Guinea-Bissau","0.018237"
"Guyana","0.02726"
"Honduras","0.05412174999999999"
"Hungary","0.3494833333333333"
"Iceland","0.12423"
"India","0.19892293643800887"
"Indonesia","0.27388437078651695"
"Iran","0.573477570093458"
"Iraq","0.6485928571428571"
"Ireland","0.12851101694915257"
"Israel","0.24857288135593222"
"Italy","0.1845834848484851"
"Jamaica","0.07925000000000001"
"Japan","0.41257825670498094"
"Jordan","0.14253030303030298"
"Kazakhstan","0.5644848484848486"
"Kenya","0.10808260869565221"
"Kosovo","0.7390000000000001"
"Kuwait","1.9810555555555558"
"Kyrgyzstan","0.45425000000000004"
"Laos","0.24934299999999995"
"Latvia","0.5074"
"Lebanon","0.2957571428571429"
"Lesotho","0.07200000000000001"
"Liberia","0.03665"
"Libya","0.51925"
"Lithuania","0.5818"
"Luxembourg","0.8405"
"Macedonia","0.11355"
"Madagascar","0.029994166666666666"
"Malawi","0.07382000000000001"
"Malaysia","0.5235363636363638"
"Mali","0.077875"
"Mauritania","0.04511485714285714"
"Mauritius","0.043011695652173915"
"Mexico","0.22514765342960294"
"Moldova","0.4856666666666667"
"Mongolia","0.11300000000000002"
"Montenegro","0.29516666666666663"
"Morocco","0.19327911111111118"
"Mozambique","0.7616666666666667"
"Myanmar","0.11391714285714283"
"Namibia","0.03865384615384615"
"Nepal","0.04199642857142858"
"Netherlands","0.23934774647887325"
"New Zealand","0.15522209302325576"
"Nicaragua","0.0539625"
"Niger","0.023885714285714284"
"Nigeria","0.4815384615384615"
"North Korea","0.2970322580645161"
"Norway","0.10637581699346409"
"Oman","0.5009"
"Pakistan","0.34604838709677416"
"Palestine","0.0076"
"Panama","0.0960705882352941"
"Papua New Guinea","0.027126666666666667"
"Paraguay","2.9200000000000004"
"Peru","0.2322531249999999"
"Philippines","0.1684495934959351"
"Poland","0.2005396825396828"
"Portugal","0.03143894243070362"
"Qatar","0.879"
"Romania","0.21539558823529412"
"Russia","0.4187523853211005"
"Rwanda","0.01760727272727273"
"Saint Lucia","0.003"
"Saudi Arabia","0.9371283333333331"
"Senegal","0.069616"
"Serbia","0.6631666666666667"
"Sierra Leone","0.042"
"Singapore","0.9757142857142858"
"Slovakia","0.20769533333333332"
"Slovenia","0.342"
"South Africa","0.4848336538461541"
"South Korea","0.753580909090909"
"Spain","0.09533783835946924"
"Sri Lanka","0.07750208333333335"
"Sudan","0.14726894736842105"
"Suriname","0.005"
"Swaziland","0.015799999999999998"
"Sweden","0.15725416666666658"
"Switzerland","0.07808333333333335"
"Syrian Arab Republic","0.44255555555555565"
"Taiwan","0.9541502564102561"
"Tajikistan","0.52964"
"Tanzania","0.09040909090909091"
"Thailand","0.2023178571428569"
"Togo","0.065038"
"Trinidad and Tobago","0.35743333333333327"
"Tunisia","0.18711851851851857"
"Turkey","0.3156116564417176"
"Turkmenistan","0.4934285714285714"
"Uganda","0.07022727272727272"
"Ukraine","0.7589031250000001"
"United Arab Emirates","1.0109000000000001"
"United Kingdom","0.0353163520465285"
"United States of America","0.12250971727855339"
"Uruguay","0.05765917808219171"
"Uzbekistan","0.7899999999999999"
"Venezuela","0.7231627906976744"
"Vietnam","0.1752139406779663"
"Western Sahara","0.0234"
"Yemen","0.1492857142857143"
"Zambia","0.17928913333333335"
"Zimbabwe","0.835"
